x,y
-0.0060122013,0.8449844
2.2064128,5.640148
-2.771543,-4.4551682
0.87174344,2.9545608
0.9919841,3.070997
-2.3266532,-3.9339561
0.6192386,2.2588055
-0.2464931,0.5237274
0.97995996,2.7912238
-1.4128257,-1.8528583
-1.3527055,-1.7016981
2.0861723,4.843197
1.0280561,3.07265
-2.6993988,-4.139513
2.5791583,6.377645
0.37875748,2.1449735
-0.030060291,1.2326508
-0.15030074,0.7150437
-1.5931864,-2.1681423
-2.4949899,-4.165937
-0.3547094,0.35246694
-0.8837676,-0.7603717
0.84769535,2.7820783
-1.1603206,-1.1271224
-0.22244501,0.95295143
-0.2705412,0.24686702
2.014028,4.7631383
-0.5591183,-0.3046378
-1.48497,-1.8259465
0.9559119,3.0528467
-2.6272545,-4.082537
-1.6412826,-2.3030322
2.6513026,6.041374
0.25851703,1.5206133
-1.3166333,-1.7083355
-2.3146293,-3.622058
-0.6913829,-0.02788809
-2.711423,-4.167021
-2.795591,-4.6231017
0.18637276,1.3509195
-2.2064128,-2.9692104
-0.49899817,-0.16092171
2.759519,6.3014307
-1.8697395,-2.4725385
0.042084217,1.1972694
0.19839692,1.5398338
-2.7234468,-4.1107697
-0.3306613,0.545678
0.13827658,1.363008
2.1222446,5.3073454
-2.9398797,-5.1266685
-1.6052104,-2.0651853
-2.4589179,-3.4932787
-2.8076153,-4.286767
2.5551102,5.8578205
1.2925853,3.416295
-2.9639277,-5.34896
-0.37875748,-0.11368784
1.8697395,4.710951
-2.278557,-3.5766754
-1.6773547,-2.3549716
0.82364726,2.8882647
2.1462927,5.499549
-2.6513026,-4.2942533
2.254509,5.4994397
2.6633267,6.0458593
-2.6873748,-4.2526565
-2.9158316,-5.1525965
2.4468937,5.6974277
-1.7014028,-2.3498237
-2.5551102,-4.195124
-1.1122245,-1.3079576
2.8797596,6.997289
-1.5811623,-2.2401378
-1.6292585,-2.3783476
-0.89579153,-0.38627595
1.48497,4.098435
-0.82364726,-0.9654878
-1.2685372,-1.7316091
1.4368738,3.9070075
1.6893787,4.258494
-0.65531063,-0.37802428
1.8577155,4.907904
0.3066132,1.6084265
2.4589179,5.789424
-1.3046093,-1.4026011
1.3887776,3.636627
-2.1943889,-3.2841446
-0.47495008,-0.04888486
-0.97995996,-1.280352
2.9278557,6.9403486
1.5090181,4.1551094
1.8096193,4.624179
0.2705412,1.265222
-1.6893787,-2.1241238
-0.018036127,1.2150146
-1.2565131,-1.3213347
-1.8937876,-3.1320343
-1.1723447,-1.2749391
1.4128257,4.2030134
2.6152306,6.230306
-2.0020041,-3.1210823
-0.05410838,0.8863596
-1.0160321,-1.1782327
-1.0400802,-1.1493504
-0.60721445,0.0563111
-0.25851703,0.36843443
-2.1102204,-3.2091165
2.747495,6.904726
1.3046093,3.4989493
0.0060122013,1.1828083
-1.5691383,-2.0326934
0.7274549,1.9936081
0.5951905,2.3328283
0.06613231,1.1767553
1.2565131,3.5306082
1.7975953,4.760063
-0.29458928,0.74417996
1.2444891,3.5640244
-0.18637276,0.21751204
1.5931864,4.0883594
0.29458928,1.0721885
-2.5671344,-4.0704927
-0.6432867,-0.5216401
-1.3286574,-1.4722278
1.3767536,3.398808
-0.06613231,0.6933576
2.278557,5.7657104
0.43887782,1.9315666
-2.2905812,-3.4460394
-1.6653306,-2.391382
-1.9298598,-2.9560363
2.242485,5.654674
-2.9278557,-4.864325
1.3286574,4.0373774
1.1603206,3.3036966
1.0641283,3.2855327
-1.1002004,-1.4394916
-1.1963928,-1.5393461
-0.87174344,-0.7193691
1.725451,3.95321
-0.78757524,-0.6789051
2.3987975,5.8949695
-2.8797596,-4.8380146
1.5691383,4.020129
-1.7615231,-2.613077
-2.026052,-3.1198525
-2.543086,-4.0250278
0.7755511,2.5242856
-0.9919841,-1.2027541
2.6392787,6.517749
0.5591183,2.5223854
2.6993988,6.481809
-0.6192386,-0.14272365
0.57114244,2.1930687
2.0020041,5.1407833
-1.2444891,-1.165138
1.7134268,4.229823
-1.232465,-1.174808
2.3747497,5.6002383
0.450902,1.8944781
-1.5210421,-1.8892361
1.4248497,3.806011
-1.8456914,-3.1932917
-1.2805612,-1.4337597
-0.12625265,0.8294294
2.3146293,5.6368194
-1.8336674,-2.5697346
1.8937876,4.7798147
-1.5330662,-2.0396252
-0.7995992,-0.7037179
-0.57114244,-0.2464363
-0.042084217,0.8451824
0.6673348,2.191874
0.58316636,2.3536205
1.220441,3.3748186
1.6412826,4.240644
1.7494991,4.667714
0.41482973,1.9125779
-1.496994,-1.9260099
0.63126254,2.5311859
-0.31863737,0.7006547
2.026052,4.948888
-0.36673355,0.568142
-1.4488978,-1.6954229
2.0501003,5.0061564
0.47495008,1.7468843
2.3386774,5.656718
1.5210421,4.014147
0.49899817,1.9097914
1.2685372,3.2887776
0.5350702,1.9271479
1.7615231,4.7205358
1.0881764,3.2896857
-1.6533066,-2.5980191
-0.84769535,-0.73690605
0.6913829,2.1910567
2.1943889,5.289978
2.8557115,7.104481
2.7835672,6.7373877
2.0741482,5.139058
-0.19839692,0.42198724
0.73947906,2.2215798
-1.0280561,-0.99874574
-1.3647295,-1.5011574
-0.63126254,-0.19091366
0.10220456,0.9029741
-0.21042085,0.5647608
-1.6172345,-2.1390576
-1.5571142,-2.1167655
1.1963928,3.2574596
-0.3066132,0.38587257
1.8336674,4.515296
1.7735472,4.4806995
-1.4729459,-1.8636104
0.42685366,2.08502
1.9418838,5.1129026
-1.7134268,-2.3911605
1.4488978,4.326629
0.9078157,2.8899097
-1.4008017,-1.4745214
2.4348698,5.7839003
-2.470942,-4.1967144
2.5310621,6.077554
-2.218437,-3.2655914
0.40280557,2.0017898
-1.9779559,-2.8509874
-0.0901804,0.7118642
-0.76352715,-0.91238517
1.6052104,4.1385293
-1.0881764,-1.0138854
-2.8557115,-4.8569994
-2.5791583,-3.8148444
-2.6633267,-4.372978
-0.9559119,-0.6540582
-1.2925853,-1.7225007
1.7855712,4.4096184
1.1122245,3.1269479
-0.34268546,0.21456727
-1.8577155,-2.6187232
-2.3867736,-3.6683855
-0.11422849,0.58571696
2.8196392,6.488761
1.5450902,3.8335946
-0.8597195,-0.8805718
-2.507014,-3.8149009
2.9879758,7.073264
2.0621243,5.0025196
-0.52304626,0.21521437
0.39078164,1.9273059
0.05410838,1.2093751
1.9539078,4.8794537
-2.9519038,-4.768124
0.07815647,1.0192167
2.3867736,5.4967704
-1.7975953,-2.4670396
-0.28256512,0.4656538
2.1583166,5.1913457
-0.43887782,0.21039778
-0.9438877,-0.87731636
-1.8216434,-2.4863694
0.5110221,1.9593207
-0.41482973,-0.29334813
-2.2665331,-3.1641474
-2.4348698,-3.9673223
-2.6152306,-4.5073957
0.21042085,1.4286696
0.9318638,2.8796375
-0.5951905,-0.08516864
2.3627255,5.8775897
-2.6753507,-4.0837536
2.0981965,5.0997276
-0.23446894,0.6110432
0.12625265,0.956696
0.4629259,2.1205106
-1.0521042,-1.0992366
2.1102204,5.072382
-1.3406814,-2.0425239
-2.254509,-3.7459254
-1.3767536,-1.6383063
-1.4609219,-1.5356116
2.7234468,7.013687
-2.9038076,-4.958042
0.9198396,2.838748
2.5671344,6.3514795
-2.230461,-3.171895
0.60721445,2.2080758
-2.8316634,-4.8170943
-1.1242485,-1.744521
-2.5190382,-4.349591
1.5571142,4.2039256
2.6272545,6.286921
1.8456914,4.609882
-0.40280557,0.1147898
0.3547094,1.7210033
2.218437,5.344506
2.1703408,5.2376633
1.0521042,3.1406972
-0.16232467,0.67887527
-0.5110221,0.06992272
-0.450902,0.12905923
0.54709435,2.0846763
2.4949899,5.965817
0.018036127,1.1386704
2.8677354,6.500155
2.8436873,6.4309225
0.6432867,2.4292274
1.2084169,3.3022306
0.23446894,1.5182564
-0.58316636,0.25607488
-1.0641283,-1.0825412
-2.482966,-4.08616
-0.39078164,0.43453398
1.8216434,4.430457
-0.715431,-0.2900074
0.715431,2.6800804
0.11422849,0.9063238
-1.737475,-2.3243983
-2.3627255,-3.4871771
1.6773547,4.166892
-2.9879758,-4.678495
2.3026052,5.342623
2.795591,6.5110884
-2.4108217,-3.953271
2.0380762,5.1961894
-2.0380762,-3.0739787
-0.5350702,0.143598
-2.5911825,-4.227038
0.16232467,1.481073
2.1342685,5.2968483
1.4008017,3.722673
-1.9058117,-2.6908436
1.0761523,3.1407206
2.6873748,6.4358954
-2.3747497,-3.8470976
1.1482966,3.6227667
0.17434883,1.0289441
-0.10220456,0.85082906
-2.8436873,-4.7992606
0.78757524,2.3669968
-1.9418838,-2.7349772
1.6533066,4.339877
0.28256512,1.6902908
-1.004008,-0.9730521
0.9438877,2.963411
2.9158316,6.955952
-1.3887776,-1.646607
0.6793587,2.5254633
2.771543,6.867425
0.8356714,2.474848
-0.07815647,0.93620354
-2.3507013,-3.8642042
1.3647295,3.694385
-2.3987975,-3.7819903
2.482966,6.284211
-0.9078157,-0.66052747
2.3507013,5.9392977
-0.7274549,-0.5660688
2.9639277,6.5786695
-0.751503,-0.47743574
-0.96793604,-0.6652927
-2.3026052,-3.6179059
-2.4228458,-4.028456
1.1362725,3.3942268
-0.17434883,0.43509123
0.030060291,1.1680667
-2.747495,-4.2793264
0.76352715,2.1017017
2.5190382,6.060736
-1.0761523,-1.5324153
0.31863737,1.6128361
2.3266532,5.4192643
-0.7034068,-0.2648384
1.6292585,4.2436643
0.52304626,2.0202417
1.9659319,4.8765955
1.1242485,3.2585163
0.0901804,1.2930726
0.7034068,2.4975405
-1.2084169,-1.458909
-1.4368738,-2.1610289
-1.1843687,-1.3478779
1.3166333,4.031059
-1.8096193,-2.6135092
1.4729459,4.015072
-1.9539078,-2.897487
2.507014,5.9174237
0.96793604,2.5911326
-0.42685366,0.11663423
2.6032064,6.2196217
-1.5450902,-2.0420132
3.0,7.0733647
-2.759519,-4.6706643
-0.73947906,-0.27437544
-2.1462927,-3.0369864
-1.725451,-2.3699505
0.2464931,1.097468
1.1843687,3.5582905
2.230461,5.744918
-1.7735472,-2.333709
